symbol: WTRX-USD | length: 1591 | accuracy: 0.5091137649277184 | cross_val_scores: [0.51903808 0.5058309  0.58008658 0.52808989 0.50342466] | cross_val_scores_avg: 0.5272940210407336 | precision: 0.48583569405099153 | tn: 467, fp: 363, fn: 418, tp: 343 | 
symbol: APE18876-USD | length: 541 | accuracy: 0.49168207024029575 | cross_val_scores: [0.53233831 0.53953488 0.51173709 0.45454545 0.48847926] | cross_val_scores_avg: 0.505326999719757 | precision: 0.4641509433962264 | tn: 143, fp: 142, fn: 133, tp: 123 | 
symbol: ICP-USD | length: 1964 | accuracy: 0.4938900203665988 | cross_val_scores: [0.52533333 0.49113233 0.5254902  0.50695322 0.51827676] | cross_val_scores_avg: 0.5134371696919635 | precision: 0.48283261802575106 | tn: 520, fp: 482, fn: 512, tp: 450 | 
symbol: TMG-USD | length: 420 | accuracy: 0.5285714285714286 | cross_val_scores: [0.4751773  0.50847458 0.48447205 0.48648649 0.49382716] | cross_val_scores_avg: 0.489687515581096 | precision: 0.470873786407767 | tn: 125, fp: 109, fn: 89, tp: 97 | 
symbol: BTC-USD | length: 1897 | accuracy: 0.5007907221929362 | cross_val_scores: [0.50265957 0.51897185 0.54005168 0.50732357 0.4972973 ] | cross_val_scores_avg: 0.5132607936304785 | precision: 0.47303689687795647 | tn: 450, fp: 557, fn: 390, tp: 500 | 
symbol: ETH-USD | length: 1897 | accuracy: 0.4897206114918292 | cross_val_scores: [0.51554404 0.51464968 0.50872483 0.501868   0.52812071] | cross_val_scores_avg: 0.5137814527037566 | precision: 0.48082901554404145 | tn: 465, fp: 501, fn: 467, tp: 464 | 
symbol: USDT-USD | length: 1897 | accuracy: 0.5977859778597786 | cross_val_scores: [0.64511873 0.65733333 0.60759494 0.63469676 0.61294766] | cross_val_scores_avg: 0.6315382835895982 | precision: 0.5925133689839572 | tn: 580, fp: 381, fn: 382, tp: 554 | 
symbol: BNB-USD | length: 1897 | accuracy: 0.5028993147074328 | cross_val_scores: [0.47638889 0.4760479  0.50368189 0.49180328 0.48913043] | cross_val_scores_avg: 0.4874104783353646 | precision: 0.48668280871670705 | tn: 552, fp: 424, fn: 519, tp: 402 | 
symbol: USDC-USD | length: 1897 | accuracy: 0.6494464944649446 | cross_val_scores: [0.62887828 0.61640212 0.64794521 0.64189189 0.64060357] | cross_val_scores_avg: 0.6351442123851729 | precision: 0.6503267973856209 | tn: 635, fp: 321, fn: 344, tp: 597 | 
symbol: XRP-USD | length: 1897 | accuracy: 0.48761201897733264 | cross_val_scores: [0.50347705 0.47877013 0.48401163 0.49442897 0.5       ] | cross_val_scores_avg: 0.49213755609965315 | precision: 0.4459295261239368 | tn: 558, fp: 456, fn: 516, tp: 367 | 
symbol: BUSD-USD | length: 1725 | accuracy: 0.6353623188405797 | cross_val_scores: [0.63247863 0.6372549  0.65512048 0.5984127  0.61267606] | cross_val_scores_avg: 0.6271885542235708 | precision: 0.641086186540732 | tn: 553, fp: 304, fn: 325, tp: 543 | 
symbol: ADA-USD | length: 1897 | accuracy: 0.4881391671059568 | cross_val_scores: [0.49751861 0.49731183 0.49037227 0.50612245 0.49788434] | cross_val_scores_avg: 0.4978419007297753 | precision: 0.47713097713097713 | tn: 467, fp: 503, fn: 468, tp: 459 | 
symbol: DOGE-USD | length: 1897 | accuracy: 0.5144965735371639 | cross_val_scores: [0.50956284 0.5264624  0.51483871 0.50592885 0.51783355] | cross_val_scores_avg: 0.5149252708012502 | precision: 0.514500537056928 | tn: 497, fp: 452, fn: 469, tp: 479 | 
symbol: MATIC-USD | length: 1897 | accuracy: 0.5065893516078018 | cross_val_scores: [0.4870041  0.50918635 0.49111675 0.510699   0.49019608] | cross_val_scores_avg: 0.4976404573600293 | precision: 0.5023584905660378 | tn: 535, fp: 422, fn: 514, tp: 426 | 
symbol: SOL-USD | length: 1897 | accuracy: 0.4934106483921982 | cross_val_scores: [0.50862069 0.53925354 0.50963855 0.51698113 0.5410691 ] | cross_val_scores_avg: 0.523112603118437 | precision: 0.501532175689479 | tn: 445, fp: 488, fn: 473, tp: 491 | 
symbol: DOT-USD | length: 1897 | accuracy: 0.5071164997364259 | cross_val_scores: [0.51162791 0.52459016 0.53701211 0.50823828 0.51324086] | cross_val_scores_avg: 0.5189418635537235 | precision: 0.5092975206611571 | tn: 469, fp: 475, fn: 460, tp: 493 | 
symbol: LTC-USD | length: 1897 | accuracy: 0.5065893516078018 | cross_val_scores: [0.48043185 0.5042735  0.48891967 0.49601064 0.49799733] | cross_val_scores_avg: 0.4935265977574673 | precision: 0.49887640449438203 | tn: 517, fp: 446, fn: 490, tp: 444 | 
symbol: SHIB-USD | length: 1897 | accuracy: 0.5081707959936742 | cross_val_scores: [0.53037975 0.53645117 0.50430504 0.52972973 0.52251023] | cross_val_scores_avg: 0.5246751841455302 | precision: 0.4957894736842105 | tn: 493, fp: 479, fn: 454, tp: 471 | 
symbol: WTRX-USD | length: 1591 | accuracy: 0.5091137649277184 | cross_val_scores: [0.51903808 0.5058309  0.58008658 0.52808989 0.50342466] | cross_val_scores_avg: 0.5272940210407336 | precision: 0.48583569405099153 | tn: 467, fp: 363, fn: 418, tp: 343 | 
symbol: AVAX-USD | length: 1897 | accuracy: 0.510806536636795 | cross_val_scores: [0.50744417 0.51153846 0.4908648  0.51689612 0.52290076] | cross_val_scores_avg: 0.5099288625614996 | precision: 0.4966183574879227 | tn: 455, fp: 521, fn: 407, tp: 514 | 
symbol: DAI-USD | length: 1897 | accuracy: 0.6420664206642066 | cross_val_scores: [0.63060686 0.62055336 0.63115846 0.61006289 0.62663185] | cross_val_scores_avg: 0.6238026844205155 | precision: 0.6409989594172737 | tn: 602, fp: 345, fn: 334, tp: 616 | 
symbol: TRX-USD | length: 1897 | accuracy: 0.521876647337902 | cross_val_scores: [0.48559078 0.47832817 0.48224044 0.46633826 0.48743719] | cross_val_scores_avg: 0.47998696680048436 | precision: 0.4966078697421981 | tn: 624, fp: 371, fn: 536, tp: 366 | 
