symbol: ETH-USD | length: 1897 | accuracy: 0.503426462836057 | cross_val_scores: [0.50709677 0.50711514 0.49726776 0.52074967 0.50849673] | cross_val_scores_avg: 0.5081452133889848 | precision: 0.49473684210526314 | tn: 485, fp: 480, fn: 462, tp: 470 | 
symbol: USDT-USD | length: 1898 | accuracy: 0.5353003161222339 | cross_val_scores: [0.56542811 0.71827411 0.58510638 0.55753968 0.72727273] | cross_val_scores_avg: 0.630724202864173 | precision: 0.5454545454545454 | tn: 692, fp: 270, fn: 612, tp: 324 | 
symbol: BNB-USD | length: 1898 | accuracy: 0.5147523709167545 | cross_val_scores: [0.48129676 0.4950495  0.52247191 0.52595156 0.54929577] | cross_val_scores_avg: 0.5148131009817811 | precision: 0.5076923076923077 | tn: 878, fp: 96, fn: 825, tp: 99 | 
symbol: USDC-USD | length: 1898 | accuracy: 0.6638566912539515 | cross_val_scores: [0.65736041 0.6461126  0.65578231 0.65288221 0.64395887] | cross_val_scores_avg: 0.651219278792224 | precision: 0.6570247933884298 | tn: 624, fp: 332, fn: 306, tp: 636 | 
symbol: XRP-USD | length: 1898 | accuracy: 0.5142255005268704 | cross_val_scores: [0.5107084  0.4962963  0.50584307 0.53103448 0.52066116] | cross_val_scores_avg: 0.5129086819685913 | precision: 0.47270114942528735 | tn: 647, fp: 367, fn: 555, tp: 329 | 
symbol: BUSD-USD | length: 1725 | accuracy: 0.6550724637681159 | cross_val_scores: [0.65417867 0.65361446 0.66414523 0.64521452 0.65676077] | cross_val_scores_avg: 0.6547827321575961 | precision: 0.6716981132075471 | tn: 596, fp: 261, fn: 334, tp: 534 | 
symbol: ADA-USD | length: 1898 | accuracy: 0.5094836670179136 | cross_val_scores: [0.50446872 0.50744879 0.50322581 0.51111111 0.52161654] | cross_val_scores_avg: 0.5095741934910063 | precision: 0.4989293361884368 | tn: 268, fp: 702, fn: 229, tp: 699 | 
symbol: DOGE-USD | length: 1898 | accuracy: 0.5374077976817703 | cross_val_scores: [0.51747312 0.50980392 0.51005025 0.5245283  0.53245192] | cross_val_scores_avg: 0.5188615032136388 | precision: 0.5364372469635628 | tn: 490, fp: 458, fn: 420, tp: 530 | 
symbol: MATIC-USD | length: 1898 | accuracy: 0.5115911485774499 | cross_val_scores: [0.5        0.52827381 0.5048951  0.52532562 0.50854701] | cross_val_scores_avg: 0.5134083076033148 | precision: 0.5082547169811321 | tn: 540, fp: 417, fn: 510, tp: 431 | 
symbol: SOL-USD | length: 1898 | accuracy: 0.5216016859852476 | cross_val_scores: [0.51130164 0.51340206 0.51123091 0.5106383  0.51149425] | cross_val_scores_avg: 0.5116134313695345 | precision: 0.5160550458715596 | tn: 90, fp: 844, fn: 64, tp: 900 | 
symbol: DOT-USD | length: 1898 | accuracy: 0.5105374077976818 | cross_val_scores: [0.52045455 0.51803279 0.5257485  0.53941909 0.52008032] | cross_val_scores_avg: 0.5247470487511746 | precision: 0.5101378751013788 | tn: 340, fp: 604, fn: 325, tp: 629 | 
symbol: LTC-USD | length: 1898 | accuracy: 0.5331928345626976 | cross_val_scores: [0.51565074 0.48087432 0.52952756 0.52669039 0.55730337] | cross_val_scores_avg: 0.5220092759183013 | precision: 0.5411184210526315 | tn: 683, fp: 279, fn: 607, tp: 329 | 
symbol: SHIB-USD | length: 1898 | accuracy: 0.5142255005268704 | cross_val_scores: [0.52083333 0.52067039 0.52631579 0.53012048 0.52953157] | cross_val_scores_avg: 0.5254943128048574 | precision: 0.5011320754716981 | tn: 312, fp: 661, fn: 261, tp: 664 | 
symbol: WTRX-USD | length: 1591 | accuracy: 0.5223130106851037 | cross_val_scores: [0.58715596 0.55692308 0.73584906 0.76666667 0.59302326] | cross_val_scores_avg: 0.6479236038620446 | precision: 0.5166666666666667 | tn: 800, fp: 29, fn: 731, tp: 31 | 
symbol: AVAX-USD | length: 1898 | accuracy: 0.4994731296101159 | cross_val_scores: [0.51414634 0.50756303 0.51694095 0.50400802 0.51383399] | cross_val_scores_avg: 0.5112984646987102 | precision: 0.4891640866873065 | tn: 316, fp: 660, fn: 290, tp: 632 | 
symbol: DAI-USD | length: 1898 | accuracy: 0.6559536354056902 | cross_val_scores: [0.66578947 0.64304462 0.62977602 0.63590392 0.6443299 ] | cross_val_scores_avg: 0.6437687860368256 | precision: 0.6520408163265307 | tn: 606, fp: 341, fn: 312, tp: 639 | 
symbol: TRX-USD | length: 1898 | accuracy: 0.5226554267650158 | cross_val_scores: [0.5        0.50222222 0.50895141 0.58139535 0.56637168] | cross_val_scores_avg: 0.5317881318249954 | precision: 0.4939759036144578 | tn: 910, fp: 84, fn: 822, tp: 82 | 
symbol: STETH-USD | length: 1710 | accuracy: 0.49415204678362573 | cross_val_scores: [0.51511879 0.51073446 0.52190722 0.51693989 0.52227979] | cross_val_scores_avg: 0.5173960307449876 | precision: 0.4897435897435897 | tn: 272, fp: 597, fn: 268, tp: 573 | 
